TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-08-16 19:00:47.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:48.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:48.271,0.32936922,1.3456981,0.9756264,0.5360625,0.5233975,1.0307149,0.71394014,0.78198045,0.15015903,0.9453923,0.7971819,0.3554846,0.25125533,0.23147963,0.0656351,0.455958,-0.43408474,-0.36900657,-0.49048835,-0.1205967,835.2747,780.07324,808.2784,840.9158,693.8461,0.0,0.0,0.01678466796875,0.03411865234375,0.9915771484375,3.790740966796875,-6.4898681640625,6.990814208984375,1,2.0,1.0,1.0,2.0,100.00
2021-08-16 19:00:49.283,0.32936922,1.0460312,1.051206,0.5360625,0.5233975,0.72824407,0.66350436,0.78198045,0.15015903,0.63951266,0.701055,0.3554846,0.25125533,0.040354885,0.007716388,0.455958,-0.43408474,-0.5039662,-0.4501403,-0.1205967,807.47253,807.47253,792.96704,805.8608,737.76556,0.0,0.0,-0.14215087890625,0.04876708984375,0.9849853515625,2.94586181640625,-8.172149658203125,1.547698974609375,1,2.0,1.0,1.0,2.0,100.00
2021-08-16 19:00:49.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:49.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:50.300,0.32936922,0.9273047,1.1577697,0.5360625,0.5233975,0.5402693,0.65367144,0.78198045,0.15015903,0.7042416,0.47111693,0.3554846,0.25125533,0.0056225657,0.0064118137,0.455958,-0.43408474,-0.5983715,-0.5952776,-0.1205967,805.8608,809.0842,802.6374,794.17584,781.685,0.0,0.0,0.02032470703125,0.04638671875,0.991943359375,4.44122314453125,-10.071258544921875,6.62445068359375,1,2.0,1.0,1.0,2.0,100.00
2021-08-16 19:00:51.303,1.1732163,0.46705613,0.7189172,0.5360625,0.7733187,0.16551757,0.13243663,0.78198045,0.6749221,0.3917238,0.17186432,0.3554846,0.6090629,-0.040967196,-0.02266909,0.455958,0.09982625,-0.56412154,-0.5606226,-0.1205967,821.978,806.6667,809.0842,834.87177,811.50183,0.0,0.0,-0.0526123046875,0.10455322265625,1.00689697265625,-1.83929443359375,-3.69354248046875,2.579498291015625,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:51.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:52.338,1.1998527,0.23223864,0.51621103,0.5360625,0.9148603,0.06356015,-0.037505694,0.78198045,0.712618,0.36080033,0.21606822,0.3554846,0.5444745,-0.054424874,-0.19383723,0.455958,0.25607488,-0.3161668,-0.39039323,-0.1205967,799.41394,807.0696,802.23444,793.7729,724.87177,0.0,0.0,-0.0360107421875,0.09075927734375,0.9921875,2.572021484375,-2.13836669921875,3.297271728515625,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:52.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:53.372,1.2724211,1.065144,0.7257167,0.5360625,1.0282906,0.42946738,0.25618818,0.78198045,0.6054883,0.4618441,0.31145123,0.3554846,0.40780607,0.18454646,-0.025153384,0.455958,0.36862254,-0.25639364,-0.35057217,-0.1205967,792.1612,810.293,815.12823,796.99634,771.2088,0.0,0.0,-0.03326416015625,0.10003662109375,0.98895263671875,2.55706787109375,-4.583282470703125,1.772003173828125,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:54.406,1.2724211,0.8695095,0.85951126,0.5360625,1.0282906,0.3756126,0.24902922,0.78198045,0.6054883,0.4230202,0.3007575,0.3554846,0.40780607,0.11656085,-0.018505465,0.455958,0.36862254,-0.35308215,-0.4426493,-0.1205967,800.2198,799.011,799.011,795.78754,849.7802,0.0,0.0,-0.0191650390625,0.0853271484375,0.9921875,2.474822998046875,-3.12530517578125,1.772003173828125,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:55.409,0.4585122,-0.007675335,0.26844236,0.68726945,0.4884138,-0.0022251722,-0.01986761,0.30050287,0.70875305,0.35087615,0.05060811,0.70144594,0.4020795,-0.14565025,-0.1628595,0.49959585,-0.06751999,-0.48142633,-0.59106094,-0.082839005,775.2381,797.3993,798.60803,801.8315,709.9634,0.0,0.0,-0.00811767578125,0.0850830078125,0.99493408203125,2.82623291015625,-3.648681640625,2.056121826171875,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:56.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:56.439,0.6571595,-0.03769802,0.032023948,0.9041948,0.42270952,-0.180941,-0.1873794,0.55935234,0.70803976,0.34372172,0.11353098,0.9927283,0.48160985,-0.12663709,-0.060850725,0.61468875,-0.0051446967,-0.38435215,-0.49482152,-0.025906112,757.1062,809.89014,788.5348,757.50916,793.7729,0.0,0.0,0.00506591796875,0.08245849609375,0.9989013671875,3.36456298828125,-4.269256591796875,2.145843505859375,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:56.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:57.475,0.70977926,0.63019055,0.4518397,0.93167967,0.2062478,0.51455885,0.0101769585,0.55312026,0.41739884,0.51226944,-0.041953,0.7530759,0.508217,-0.15775599,-0.048881553,0.6483105,0.07777115,-0.19438316,-0.44597805,0.13300417,833.663,791.75824,793.36993,837.28937,815.5311,0.0,0.0,0.007080078125,0.08001708984375,0.994140625,2.9608154296875,-3.170166015625,1.667327880859375,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:57.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:00:58.489,0.70977926,0.7129771,0.6037479,0.93167967,0.2062478,0.7078875,0.30994093,0.55312026,0.41739884,0.5284558,0.42670095,0.7530759,0.508217,-0.112954915,-0.068968646,0.6483105,0.07777115,-0.17836328,-0.3773744,0.13300417,801.4286,798.20514,788.5348,786.52014,772.01465,0.0,0.0,0.01513671875,0.08331298828125,0.99041748046875,3.51409912109375,-3.581390380859375,2.3626708984375,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:00:59.505,0.97951084,0.6083036,0.37082118,0.5907549,0.564536,0.2992269,0.16025427,0.5570793,0.5946761,0.4093853,0.46419525,0.4731296,0.5067233,0.0026757116,-0.016119298,0.36552912,-0.2481875,-0.4116247,-0.42744333,-0.19230306,804.2491,798.20514,793.7729,805.8608,921.9048,0.0,0.0,0.03326416015625,0.08538818359375,0.99560546875,2.863616943359375,-3.4393310546875,1.936492919921875,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:01:00.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-08-16 19:01:00.520,0.70574695,0.46592614,-0.018568896,0.60923326,0.38036492,0.027527468,0.10871147,0.45348486,0.6040869,0.4846886,0.16653703,0.4799832,0.38225943,0.070467606,-0.11166889,0.40172142,-0.23212609,-0.5574929,-0.44216013,-0.282813,838.49817,800.2198,805.8608,839.304,743.00366,0.0,0.0,0.064453125,0.08428955078125,0.99053955078125,2.82623291015625,-4.000091552734375,2.385101318359375,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:01:01.535,-0.21378404,0.7165733,0.1524228,0.6044704,0.027203823,0.41029385,0.12522042,0.4670275,0.23620042,0.14437611,0.1763873,0.2979324,0.16999952,0.026662525,-0.05049653,0.3544218,-0.20268115,-0.57388276,-0.47252882,-0.41673887,846.9597,800.2198,810.696,825.6044,818.3516,0.0,0.0,0.0445556640625,0.0780029296875,0.9703369140625,4.32159423828125,3.5888671875,0.5084228515625,1,1.0,1.0,1.0,1.0,100.00
2021-08-16 19:01:01.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
